Song-Name,Artists,Genre,Album,Language,Mood,tags
Inteha Ho Gayi Intezaar Ki,AshaBhosle BappiLahiri,BollywoodSad,Sharaabi,Hindi,sad,AshaBhosle BappiLahiri BollywoodSad Sharaabi sadHindi
Dil Ka Koi Tukda,Hariharan KavitaKrishnamurthy,BollywoodSad,KyaKehna,Hindi,sad,Hariharan KavitaKrishnamurthy BollywoodSad KyaKehna sadHindi
Dhadkane Saansein Jawani,AnuradhaPaudwal PankajUdhas,BollywoodDance,Beta,Hindi,Energetic,AnuradhaPaudwal PankajUdhas BollywoodDance Beta EnergeticHindi
Dil Tera Diwana,LataMangeshkar MohammedRafi,BollywoodRomantic,DilTeraDeewana,Hindi,romantic,LataMangeshkar MohammedRafi BollywoodRomantic DilTeraDeewana romanticHindi
Ek Lo Ek Muft,BappiLahiri,BollywoodDance,Guru,Hindi,Energetic,BappiLahiri BollywoodDance Guru EnergeticHindi
Maine Pyar Kiya,S.P.Balasubrahmanyam,BollywoodDance,MainePyarKiya,Hindi,Energetic,S.P.Balasubrahmanyam BollywoodDance MainePyarKiya EnergeticHindi
Chaar Dina Ki,ImranKhan PankajKapur PremDehati,BollywoodDance,MatruKiBijleeKaMandola,Hindi,Energetic,ImranKhan PankajKapur PremDehati BollywoodDance MatruKiBijleeKaMandola EnergeticHindi
Piya Tu Ab To Aaja,AshaBhosle,BollywoodDance,Caravaan,Hindi,Energetic,AshaBhosle BollywoodDance Caravaan EnergeticHindi
Tu Meri (Remix),VishalDadlani,BollywoodDance,Bangbang,Hindi,Energetic,VishalDadlani BollywoodDance Bangbang EnergeticHindi
Kitne Bhi Tu Karle Sitam,AshaBhosle,BollywoodSad,SanamTeriKasam,Hindi,sad,AshaBhosle BollywoodSad SanamTeriKasam sadHindi
Jab Mila Tu,VishalDadlani,BollywoodRomantic,IHateLuvStorys,Hindi,romantic,VishalDadlani BollywoodRomantic IHateLuvStorys romanticHindi
O Mere Majhi Mere Sajan Hai,S.D.Burman,BollywoodSad,Bandini,Hindi,sad,S.D.Burman BollywoodSad Bandini sadHindi
Churao Na Dil,KavitaKrishnamurthy UditNarayan,BollywoodRomantic,Deewane,Hindi,romantic,KavitaKrishnamurthy UditNarayan BollywoodRomantic Deewane romanticHindi
Mujhe Raat Din Bas,SonuNigam,BollywoodRomantic,Sangharsh,Hindi,romantic,SonuNigam BollywoodRomantic Sangharsh romanticHindi
Main Nai Jaana Pardes,ShafqatAmanatAli,BollywoodSad,Tevar,Hindi,sad,ShafqatAmanatAli BollywoodSad Tevar sadHindi
Chikini Chameli (Remix),ShreyaGhoshal,BollywoodDance,Agneepath,Hindi,Energetic,ShreyaGhoshal BollywoodDance Agneepath EnergeticHindi
Jane Na Nazar Pehchane Jigar,LataMangeshkar Mukesh,BollywoodRomantic,Aah,Hindi,romantic,LataMangeshkar Mukesh BollywoodRomantic Aah romanticHindi
Tu Mohabbat Hai,AtifAslam MonaliThakur,BollywoodRomantic,TereNaalLoveHoGaya,Hindi,romantic,AtifAslam MonaliThakur BollywoodRomantic TereNaalLoveHoGaya romanticHindi
O Re Khuda,AdnanSami JavedBasheer,BollywoodRomantic,Rush,Hindi,romantic,AdnanSami JavedBasheer BollywoodRomantic Rush romanticHindi
Sar Se Sarke,KishoreKumar LataMangeshkar,BollywoodRomantic,Silsila,Hindi,romantic,KishoreKumar LataMangeshkar BollywoodRomantic Silsila romanticHindi
Humko Tumse Ho Gaya Hai Pyar,KishoreKumar LataMangeshkar MohammedRafi Mukesh,BollywoodDance,AmarAkbarAnthony,Hindi,Energetic,KishoreKumar LataMangeshkar MohammedRafi Mukesh BollywoodDance AmarAkbarAnthony EnergeticHindi
Dhik Ta Na Na – Duet,Poornima UditNarayan,BollywoodRomantic,Laadla,Hindi,romantic,Poornima UditNarayan BollywoodRomantic Laadla romanticHindi
Jaane Kahan Mera Jigar Gaya Ji,GeetaDutt MohammedRafi,BollywoodRomantic,Mr.andMrs.55,Hindi,romantic,GeetaDutt MohammedRafi BollywoodRomantic Mr.andMrs.55 romanticHindi
Chaar Shanivaar,ArmaanMalik Badshah VishalDadlani,BollywoodDance,AllisWell,Hindi,Energetic,ArmaanMalik Badshah VishalDadlani BollywoodDance AllisWell EnergeticHindi
Dancing Jodi,LabhJanjua SunidhiChauhan,BollywoodDance,RabNeBanaDiJodi,Hindi,Energetic,LabhJanjua SunidhiChauhan BollywoodDance RabNeBanaDiJodi EnergeticHindi
Tera Bemar Mera Dil,KavitaKrishnamurthy MohammadAziz,BollywoodDance,Chaalbaaz,Hindi,Energetic,KavitaKrishnamurthy MohammadAziz BollywoodDance Chaalbaaz EnergeticHindi
Ishq Ki Galee,JayeshGandhi RahatFatehAliKhan,BollywoodSad,BollywoodHeightsMilengeMilenge,Hindi,sad,JayeshGandhi RahatFatehAliKhan BollywoodSad BollywoodHeightsMilengeMilenge sadHindi
Piya Piya O Piya,Pinky Prashant Preeti,BollywoodDance,HarDilJoPyarKarega,Hindi,Energetic,Pinky Prashant Preeti BollywoodDance HarDilJoPyarKarega EnergeticHindi
Tune Bechain Itna Ziada Kiya,AnuradhaPaudwal MohammadAziz,BollywoodRomantic,Nagina,Hindi,romantic,AnuradhaPaudwal MohammadAziz BollywoodRomantic Nagina romanticHindi
Rozaana,SalimMerchant,BollywoodRomantic,LoveBreakupsZindagi,Hindi,romantic,SalimMerchant BollywoodRomantic LoveBreakupsZindagi romanticHindi
Baawra,Gulzar NihiraJoshiDeshpande ShankarMahadevan,BollywoodSad,KillDil,Hindi,sad,Gulzar NihiraJoshiDeshpande ShankarMahadevan BollywoodSad KillDil sadHindi
O Humdum Suniyo Re,K.K. Kunal PravinMani Shaan,BollywoodDance,Saathiya,Hindi,Energetic,K.K. Kunal PravinMani Shaan BollywoodDance Saathiya EnergeticHindi
Hookah Bar (Remix),AmanTrikha HimeshReshammiya VineetSingh,BollywoodDance,Khiladi786,Hindi,Energetic,AmanTrikha HimeshReshammiya VineetSingh BollywoodDance Khiladi786 EnergeticHindi
Bismil,SukhwinderSingh,BollywoodDance,Haider,Hindi,Energetic,SukhwinderSingh BollywoodDance Haider EnergeticHindi
Jadugar Ka Jadoo,SureshWadkar,BollywoodDance,Toofan,Hindi,Energetic,SureshWadkar BollywoodDance Toofan EnergeticHindi
Assalaam Vaalekum,HimeshReshammiya,BollywoodDance,AapKaaSurroor,Hindi,Energetic,HimeshReshammiya BollywoodDance AapKaaSurroor EnergeticHindi
Yeh Desh Hai Veer Jawanon Kaa,MohammedRafi,BollywoodPatriotic,NayaDaur,Hindi,sad,MohammedRafi BollywoodPatriotic NayaDaur sadHindi
Kismat Se Tum Hum Ko Mile,AnuradhaPaudwal SonuNigam,BollywoodSad,Pukar,Hindi,sad,AnuradhaPaudwal SonuNigam BollywoodSad Pukar sadHindi
Hip Hip Huraah,SonuKakkar,BollywoodDance,MereDadKiMaruti,Hindi,Energetic,SonuKakkar BollywoodDance MereDadKiMaruti EnergeticHindi
Ankahee,AmitTrivedi,BollywoodRomantic,Lootera,Hindi,romantic,AmitTrivedi BollywoodRomantic Lootera romanticHindi
Foolishq,ArmaanMalik ShreyaGhoshal,BollywoodRomantic,Ki&Ka,Hindi,romantic,ArmaanMalik ShreyaGhoshal BollywoodRomantic Ki&Ka romanticHindi
Dil Diwana,SonuNigam,BollywoodDance,JawaniDiwani,Hindi,Energetic,SonuNigam BollywoodDance JawaniDiwani EnergeticHindi
Guest In London,AmitMishra NavenduTripathi,BollywoodDance,GuestInLondon,Hindi,Energetic,AmitMishra NavenduTripathi BollywoodDance GuestInLondon EnergeticHindi
Love You Till The End,ArmaanMalik,BollywoodDanceRomantic,JaiHo,Hindi,romantic,ArmaanMalik BollywoodDanceRomantic JaiHo romanticHindi
Mera Yaar Bana Hai Dulha,MohammedRafi,BollywoodDance,ChaudhvinKaChand,Hindi,Energetic,MohammedRafi BollywoodDance ChaudhvinKaChand EnergeticHindi
Jab Tak Hai Jaan Mashup,Multiple,BollywoodDance,JabTakHaiJaan,Hindi,Energetic,Multiple BollywoodDance JabTakHaiJaan EnergeticHindi
Pump It (The Workout Song),MeetBros YashNarvekar,BollywoodDance,Ki&Ka,Hindi,Energetic,MeetBros YashNarvekar BollywoodDance Ki&Ka EnergeticHindi
Pyar Nahin Karna,AlkaYagnik KumarSanu,BollywoodRomantic,KachcheDhaage,Hindi,romantic,AlkaYagnik KumarSanu BollywoodRomantic KachcheDhaage romanticHindi
Bichdann,RahatFatehAliKhan,BollywoodSad,SonofSardaar,Hindi,sad,RahatFatehAliKhan BollywoodSad SonofSardaar sadHindi
Raghupati Raghav,AlkaYagnik ShankarMahadevan,BollywoodDance,KuchKuchHotaHai,Hindi,Energetic,AlkaYagnik ShankarMahadevan BollywoodDance KuchKuchHotaHai EnergeticHindi
Show Me Your Jalwa,KailashKher RichaSharma SalimMerchant,BollywoodDance,AajaNachle,Hindi,Energetic,KailashKher RichaSharma SalimMerchant BollywoodDance AajaNachle EnergeticHindi
Fevicol Se (Remix),MamtaSharma Wajid,BollywoodDance,Dabangg2,Hindi,Energetic,MamtaSharma Wajid BollywoodDance Dabangg2 EnergeticHindi
Ay Sakhi,AanchalSethi ChinmayiSripaada Madhushree VaishaliSamant,Bollywood,Raanjhanaa,Hindi,Energetic,AanchalSethi ChinmayiSripaada Madhushree VaishaliSamant Bollywood Raanjhanaa EnergeticHindi
Kahin Karti Hogi Woh Mera Intezar,Mukesh,BollywoodDance,PhirKabMilogi,Hindi,Energetic,Mukesh BollywoodDance PhirKabMilogi EnergeticHindi
Khamakhaa,AyushmanKhurana NeetiMohan,BollywoodRomance,Bewakoofiaan,Hindi,romantic,AyushmanKhurana NeetiMohan BollywoodRomance Bewakoofiaan romanticHindi
Jhoot Nahin Bolna,HimeshReshammiya ShreyaGhoshal,BollywoodDance,AapKaaSurroor,Hindi,Energetic,HimeshReshammiya ShreyaGhoshal BollywoodDance AapKaaSurroor EnergeticHindi
Ik Junoon,VishalDadlani,BollywoodDance,ZindagiNaMilegiDobara,Hindi,Energetic,VishalDadlani BollywoodDance ZindagiNaMilegiDobara EnergeticHindi
Aafaton Ke Parinde,DivyaKumar SurajJagan,BollywoodDance,Ishaqzaade,Hindi,Energetic,DivyaKumar SurajJagan BollywoodDance Ishaqzaade EnergeticHindi
Dilrubaon Ke Jalwe,AmitKumar MonaliThakur,BollywoodDance,DulhaMilGaya,Hindi,Energetic,AmitKumar MonaliThakur BollywoodDance DulhaMilGaya EnergeticHindi
Pak Chik Pak,Anand JollyMukherjee VinodRathod,BollywoodDanceRomantic,RajaBabu,Hindi,romantic,Anand JollyMukherjee VinodRathod BollywoodDanceRomantic RajaBabu romanticHindi
Bhangra Bistar,AlishaChinoy HardKaur SunidhiChauhan,BollywoodDance,DilBoleHadippa!,Hindi,Energetic,AlishaChinoy HardKaur SunidhiChauhan BollywoodDance DilBoleHadippa! EnergeticHindi
Baawre,LoyMendonsa ShankarMahadevan,BollywoodDance,LuckByChance,Hindi,Energetic,LoyMendonsa ShankarMahadevan BollywoodDance LuckByChance EnergeticHindi
Chhalka Chhalka Re,Mahalaxmi RichaSharma Shoma Vaishali,BollywoodDance,Saathiya,Hindi,Energetic,Mahalaxmi RichaSharma Shoma Vaishali BollywoodDance Saathiya EnergeticHindi
Kya Mujhe Pyar Hai,K.K.,BollywoodRomantic,WohLamhe,Hindi,romantic,K.K. BollywoodRomantic WohLamhe romanticHindi
Mere Khwabon Mein Tu,AlkaYagnik KumarSanu,BollywoodRomantic,Gupt,Hindi,romantic,AlkaYagnik KumarSanu BollywoodRomantic Gupt romanticHindi
Lets Rock Soniye,Shaan TulsiKumar,BollywoodDance,BhoolBhulaiyaa,Hindi,Energetic,Shaan TulsiKumar BollywoodDance BhoolBhulaiyaa EnergeticHindi
Khaana Khaake,Amit AmitabhBhattacharya Antara Aroh Ashwin GeetSagar June Pritam Sunny Tushar,BollywoodDance,JaggaJasoos,Hindi,Energetic,Amit AmitabhBhattacharya Antara Aroh Ashwin GeetSagar June Pritam Sunny Tushar BollywoodDance JaggaJasoos EnergeticHindi
Tumse Jo Dekhte Hi Pyar Hua,LataMangeshkar S.P.Balasubrahmanyam,BollywoodDance,PattharKePhool,Hindi,Energetic,LataMangeshkar S.P.Balasubrahmanyam BollywoodDance PattharKePhool EnergeticHindi
Roja Jaaneman,Hariharan,BollywoodRomantic,Roja,Hindi,romantic,Hariharan BollywoodRomantic Roja romanticHindi
Udte Badal Se Poochho,AlkaYagnik,Bollywood,Sangraam,Hindi,Energetic,AlkaYagnik Bollywood Sangraam EnergeticHindi
Meri Wafayen Yaad Karoge,AshaBhosle KumarSanu,BollywoodSad,Sainik,Hindi,sad,AshaBhosle KumarSanu BollywoodSad Sainik sadHindi
Phool Maangu Na Bahaar Maangu,AlkaYagnik UditNarayan,BollywoodDance,Raja,Hindi,Energetic,AlkaYagnik UditNarayan BollywoodDance Raja EnergeticHindi
Jaaneman Jaane Jaan,AlkaYagnik SonuNigam,BollywoodDance,KyaKehna,Hindi,Energetic,AlkaYagnik SonuNigam BollywoodDance KyaKehna EnergeticHindi
Dil Samander,K.K. SunidhiChauhan,BollywoodDance,GaramMasala,Hindi,Energetic,K.K. SunidhiChauhan BollywoodDance GaramMasala EnergeticHindi
Seena Pada,ShreyaGhoshal UditNarayan,BollywoodSad,Saaya,Hindi,sad,ShreyaGhoshal UditNarayan BollywoodSad Saaya sadHindi
Bahut Pyar Karte Hai (Male Version),S.P.Balasubrahmanyam,BollywoodDance,Saajan,Hindi,Energetic,S.P.Balasubrahmanyam BollywoodDance Saajan EnergeticHindi
Baari Barsi,HarshdeepKaur SalimMerchant,BollywoodDance,BandBaajaBaaraat,Hindi,Energetic,HarshdeepKaur SalimMerchant BollywoodDance BandBaajaBaaraat EnergeticHindi
Jahan Mil Jayen Chaar Yaar,AmitabhBachchan KishoreKumar,BollywoodDance,Sharaabi,Hindi,Energetic,AmitabhBachchan KishoreKumar BollywoodDance Sharaabi EnergeticHindi
Saajan Aayo Re,A.R.Rahman JonitaGandhi NakashAziz,BollywoodRomantic,OkJaanu,Hindi,romantic,A.R.Rahman JonitaGandhi NakashAziz BollywoodRomantic OkJaanu romanticHindi
Fukraa,HardKaur JazzyB,BollywoodDance,Rush,Hindi,Energetic,HardKaur JazzyB BollywoodDance Rush EnergeticHindi
Kehdoon Tumhen,AshaBhosle KishoreKumar,BollywoodRomantic,Deewaar,Hindi,romantic,AshaBhosle KishoreKumar BollywoodRomantic Deewaar romanticHindi
Is Pal,ShreyaGhoshal SonuNigam,BollywoodRomantic,AajaNachle,Hindi,romantic,ShreyaGhoshal SonuNigam BollywoodRomantic AajaNachle romanticHindi
Senorita (Remix),AbhayDeol FarhanAkhtar HrithikRoshan,BollywoodDance,ZindagiNaMilegiDobara,Hindi,Energetic,AbhayDeol FarhanAkhtar HrithikRoshan BollywoodDance ZindagiNaMilegiDobara EnergeticHindi
Aa Zara,SunidhiChauhan,BollywoodRomantic,Murder2,Hindi,romantic,SunidhiChauhan BollywoodRomantic Murder2 romanticHindi
Naina Lad Jaihen,MohammedRafi,BollywoodDance,GungaJumna,Hindi,Energetic,MohammedRafi BollywoodDance GungaJumna EnergeticHindi
Dil Kya Kare,AdnanSami,BollywoodRomantic,Salaam-E-Ishq,Hindi,romantic,AdnanSami BollywoodRomantic Salaam-E-Ishq romanticHindi
Chupke Se,Murtuza Qadir SadhanaSargam,BollywoodRomantic,Saathiya,Hindi,romantic,Murtuza Qadir SadhanaSargam BollywoodRomantic Saathiya romanticHindi
Dard Ka Pata,MohammedIrfan Sam,BollywoodSad,Gandhigiri,Hindi,sad,MohammedIrfan Sam BollywoodSad Gandhigiri sadHindi
Aaj Na Chhodenge,KishoreKumar LataMangeshkar,BollywoodDance,KatiPatang,Hindi,Energetic,KishoreKumar LataMangeshkar BollywoodDance KatiPatang EnergeticHindi
Mere Sang,SunidhiChauhan,BollywoodRomantic,NewYork,Hindi,romantic,SunidhiChauhan BollywoodRomantic NewYork romanticHindi
Jab Se Hum Tere,AlkaYagnik KumarSanu,BollywoodDance,Krantiveer,Hindi,Energetic,AlkaYagnik KumarSanu BollywoodDance Krantiveer EnergeticHindi
Allah Hi Reham,UstadRashidKhan,BollywoodRomantic,MyNameisKhan,Hindi,romantic,UstadRashidKhan BollywoodRomantic MyNameisKhan romanticHindi
Ajnabi Shehar,SonuNigam,BollywoodRomantic,Jaan-E-Mann,Hindi,romantic,SonuNigam BollywoodRomantic Jaan-E-Mann romanticHindi
Auva Auva Koi Yahan Nache,BappiLahiri,BollywoodDance,DiscoDancer,Hindi,Energetic,BappiLahiri BollywoodDance DiscoDancer EnergeticHindi
Roy Mashup,Multiple,BollywoodDance,Roy,Hindi,Energetic,Multiple BollywoodDance Roy EnergeticHindi
Mujse Shaadi Karogi,AlkaYagnik KumarSanu ShankarMahadevan SureshWadkar,BollywoodRomantic,DulhanHumLeJayenge,Hindi,romantic,AlkaYagnik KumarSanu ShankarMahadevan SureshWadkar BollywoodRomantic DulhanHumLeJayenge romanticHindi
Mohe Panghat Pe,LataMangeshkar,BollywoodDevotional,Mughal-E-Azam,Hindi,sad,LataMangeshkar BollywoodDevotional Mughal-E-Azam sadHindi
Tauba Main Vyaah Karke Pachtaya,PoorviKoutish ShahidMalya,BollywoodDance,ShaadiKeSideEffects,Hindi,Energetic,PoorviKoutish ShahidMalya BollywoodDance ShaadiKeSideEffects EnergeticHindi
Chura Lo Dil Mera,KumarSanu Sanjivani,BollywoodRomantic,Kareeb,Hindi,romantic,KumarSanu Sanjivani BollywoodRomantic Kareeb romanticHindi
Tere Bina Tere Bina,AlkaYagnik Shaan,BollywoodDance,Khushi,Hindi,Energetic,AlkaYagnik Shaan BollywoodDance Khushi EnergeticHindi
Pyaar Tune Kya Kiya,AlkaYagnik SonuNigam,BollywoodDance,PyaarTuneKyaKiya,Hindi,Energetic,AlkaYagnik SonuNigam BollywoodDance PyaarTuneKyaKiya EnergeticHindi
Der Na Ho Jaye Kahin,LataMangeshkar MohammadSayeed SureshWadkar,BollywoodDance,Henna,Hindi,Energetic,LataMangeshkar MohammadSayeed SureshWadkar BollywoodDance Henna EnergeticHindi
Mujhko Neend Aa Rahi Hai,SonuNigam SunidhiChauhan,BollywoodRomantic,Ajnabee,Hindi,romantic,SonuNigam SunidhiChauhan BollywoodRomantic Ajnabee romanticHindi
Samajh Kar Chand Jis Ko,AlkaYagnik VinodRathod,BollywoodRomantic,Baazigar,Hindi,romantic,AlkaYagnik VinodRathod BollywoodRomantic Baazigar romanticHindi
Labon Ko,K.K.,BollywoodRomantic,BhoolBhulaiyaa,Hindi,romantic,K.K. BollywoodRomantic BhoolBhulaiyaa romanticHindi
Rehna Tu,A.R.Rahman BennyDayal Tanvi,BollywoodRomantic,Delhi-6,Hindi,romantic,A.R.Rahman BennyDayal Tanvi BollywoodRomantic Delhi-6 romanticHindi
Hass Nache Le,ShahidMallya,BollywoodDance,UdtaPunjab,Hindi,Energetic,ShahidMallya BollywoodDance UdtaPunjab EnergeticHindi
Dhai Akhar,MohammedIrfan,BollywoodRomantic,IshqClick,Hindi,romantic,MohammedIrfan BollywoodRomantic IshqClick romanticHindi
Chennai Express Mashup,Multiple,BollywoodDance,ChennaiExpress,Hindi,Energetic,Multiple BollywoodDance ChennaiExpress EnergeticHindi
Aaja Aaja Re Tujhko,AshaBhosle MahendraKapoor,BollywoodRomantic,Gumrah,Hindi,romantic,AshaBhosle MahendraKapoor BollywoodRomantic Gumrah romanticHindi
Keh Do Ke Tum,AmitKumar AnuradhaPaudwal,BollywoodRomantic,Tezaab,Hindi,romantic,AmitKumar AnuradhaPaudwal BollywoodRomantic Tezaab romanticHindi
Ang Lag Ja Balma,AshaBhosle,BollywoodRomantic,MeraNaamJoker,Hindi,romantic,AshaBhosle BollywoodRomantic MeraNaamJoker romanticHindi
Tanhaiyan,HimeshReshammiya SunidhiChauhan,BollywoodSad,AapKaaSurroor,Hindi,sad,HimeshReshammiya SunidhiChauhan BollywoodSad AapKaaSurroor sadHindi
Dil Dil Deewana,AlkaYagnik UditNarayan,BollywoodDance,HarDilJoPyarKarega,Hindi,Energetic,AlkaYagnik UditNarayan BollywoodDance HarDilJoPyarKarega EnergeticHindi
Tere Mohalle,AishwaryaNigam MamtaSharma,BollywoodDance,Besharam,Hindi,Energetic,AishwaryaNigam MamtaSharma BollywoodDance Besharam EnergeticHindi
Mera Dil Ab Tera Ho Sajna,LataMangeshkar,BollywoodDance,DilApnaAurPreetParai,Hindi,Energetic,LataMangeshkar BollywoodDance DilApnaAurPreetParai EnergeticHindi
Pyaar Yeh Jaane Kaise,KavitaKrishnamurthy SureshWadkar,BollywoodDance,Rangeela,Hindi,Energetic,KavitaKrishnamurthy SureshWadkar BollywoodDance Rangeela EnergeticHindi
Are Diwano Mujhe Pehchano,KishoreKumar,BollywoodDance,Don,Hindi,Energetic,KishoreKumar BollywoodDance Don EnergeticHindi
Aaj Din Chadheya,HarshdeepKaur IrshadKamil,BollywoodRomantic,LoveAjKal,Hindi,romantic,HarshdeepKaur IrshadKamil BollywoodRomantic LoveAjKal romanticHindi
Na Jaa,AseesKaur,BollywoodSad,JiaAurJia,Hindi,sad,AseesKaur BollywoodSad JiaAurJia sadHindi
Mai Ri Mai,HarshdeepKaur,BollywoodSad,Parched,Hindi,sad,HarshdeepKaur BollywoodSad Parched sadHindi
Jiske Liye Sabko Chhoda,MohammedRafi SulakshanaPandit,Bollywood,SaajanKiSaheli,Hindi,Energetic,MohammedRafi SulakshanaPandit Bollywood SaajanKiSaheli EnergeticHindi
Thori Se Jo Peeli Hai,KishoreKumar,BollywoodDance,NamakHalaal,Hindi,Energetic,KishoreKumar BollywoodDance NamakHalaal EnergeticHindi
Desi Beat,AmritaKak MikaSingh,BollywoodDance,Bodyguard,Hindi,Energetic,AmritaKak MikaSingh BollywoodDance Bodyguard EnergeticHindi
Lamha Lamha,AmitMishra,BollywoodRomantic,Sargoshiyan,Hindi,romantic,AmitMishra BollywoodRomantic Sargoshiyan romanticHindi
Kaisi Yeh Judai Hain,FalakShabir,BollywoodSad,Jannat,Hindi,sad,FalakShabir BollywoodSad Jannat sadHindi
Chaudhvin Ka Chand,MohammedRafi,BollywoodRomantic,ChaudhvinKaChand,Hindi,romantic,MohammedRafi BollywoodRomantic ChaudhvinKaChand romanticHindi
Jeth Ki Dophar Mein,KumarSanu Poornima,BollywoodRomantic,CoolieNo.1,Hindi,romantic,KumarSanu Poornima BollywoodRomantic CoolieNo.1 romanticHindi
Jingle Jingle,Farhid MasterSaleem MohitChauhan,BollywoodDance,BadmaashCompany,Hindi,Energetic,Farhid MasterSaleem MohitChauhan BollywoodDance BadmaashCompany EnergeticHindi
Gadbad Ho Gayee,AmitKumar Jolly KavitaKrishnamurthy,BollywoodDance,Chaalbaaz,Hindi,Energetic,AmitKumar Jolly KavitaKrishnamurthy BollywoodDance Chaalbaaz EnergeticHindi
Hamare Gaon Koi,AshaBhosle LataMangeshkar,BollywoodDance,Professor,Hindi,Energetic,AshaBhosle LataMangeshkar BollywoodDance Professor EnergeticHindi
Blue (Theme),Dilshad JaspeertSingh NehaKakkar RaqeebAalam SonuKakkar,BollywoodDance,Blue,Hindi,Energetic,Dilshad JaspeertSingh NehaKakkar RaqeebAalam SonuKakkar BollywoodDance Blue EnergeticHindi
Main Kya Hoon,KK,BollywoodDance,LoveAjKal,Hindi,Energetic,KK BollywoodDance LoveAjKal EnergeticHindi
Chand Si Mehbooba Ho Meri,Mukesh,BollywoodRomantic,HimalayKiGodmein,Hindi,romantic,Mukesh BollywoodRomantic HimalayKiGodmein romanticHindi
Dagariyo Chalo,AlkaYagnik UditNarayan,BollywoodDance,ChalteChalte,Hindi,Energetic,AlkaYagnik UditNarayan BollywoodDance ChalteChalte EnergeticHindi
Daaru Band Kal Se,SonuNigam TeeshaNigam,BollywoodDance,SinghSaabTheGreat,Hindi,Energetic,SonuNigam TeeshaNigam BollywoodDance SinghSaabTheGreat EnergeticHindi
Adhoore Tum Adhoore Hum,AlyssaMendonsa VishalDadlani,BollywoodDance,BreakUpKeBaad,Hindi,Energetic,AlyssaMendonsa VishalDadlani BollywoodDance BreakUpKeBaad EnergeticHindi
Hai Rama,Hariharan Swarnalatha,BollywoodDance,Rangeela,Hindi,Energetic,Hariharan Swarnalatha BollywoodDance Rangeela EnergeticHindi
Madhuban Mein Radhika Nache Re,MohammedRafi,BollywoodDance,Kohinoor,Hindi,Energetic,MohammedRafi BollywoodDance Kohinoor EnergeticHindi
Main khiladi Tu Anari,Abhijeet AnuMalik,BollywoodDance,MainKhiladiTuAnari,Hindi,Energetic,Abhijeet AnuMalik BollywoodDance MainKhiladiTuAnari EnergeticHindi
Main Pal Do Pal Ka Shayar,Mukesh,BollywoodSad,KabhiKabhie,Hindi,sad,Mukesh BollywoodSad KabhiKabhie sadHindi
Aashiyana,SalimMerchant,BollywoodDance,Fashion,Hindi,Energetic,SalimMerchant BollywoodDance Fashion EnergeticHindi
Mehbooba Mehbooba,AdnanSami SunidhiChauhan,BollywoodDance,Ajnabee,Hindi,Energetic,AdnanSami SunidhiChauhan BollywoodDance Ajnabee EnergeticHindi
Mehbooba Mehbooba,AdnanSami SunidhiChauhan,Bollywood,Ajnabee,Hindi,Energetic,AdnanSami SunidhiChauhan Bollywood Ajnabee EnergeticHindi
Lapak Jhapak,ArmaanMalik SiddharthMahadevan YashitaSharma,BollywoodDance,GhayalOnceAgain,Hindi,Energetic,ArmaanMalik SiddharthMahadevan YashitaSharma BollywoodDance GhayalOnceAgain EnergeticHindi
Koi Mil Gaya,K.S.Chithra UditNarayan,BollywoodRomantic,KoiMilGaya,Hindi,romantic,K.S.Chithra UditNarayan BollywoodRomantic KoiMilGaya romanticHindi
Senorita,AbhayDeol FarhanAkhtar HrithikRoshan,BollywoodDance,ZindagiNaMilegiDobara,Hindi,Energetic,AbhayDeol FarhanAkhtar HrithikRoshan BollywoodDance ZindagiNaMilegiDobara EnergeticHindi
Ek Onkaar,HarshdeepKaur,BollywoodDevotional,RangDeBasanti,Hindi,sad,HarshdeepKaur BollywoodDevotional RangDeBasanti sadHindi
Twinkle Twinkle,RanaMazumder ShreyaGhoshal,BollywoodDance,TheDirtyPicture,Hindi,Energetic,RanaMazumder ShreyaGhoshal BollywoodDance TheDirtyPicture EnergeticHindi
Chupke Se Sun,AlkaYagnik UditNarayan,BollywoodRomantic,MissionKashmir,Hindi,romantic,AlkaYagnik UditNarayan BollywoodRomantic MissionKashmir romanticHindi
Pal Bhar Ke Liye,KishoreKumar UshaKhanna,BollywoodRomantic,JohnyMeraNaam,Hindi,romantic,KishoreKumar UshaKhanna BollywoodRomantic JohnyMeraNaam romanticHindi
The Dirty Mashup,Multiple,BollywoodDance,Single,Hindi,Energetic,Multiple BollywoodDance Single EnergeticHindi
Love Ka The End,AditiSinghSharma,Bollywood,LoveKaTheEnd,Hindi,Energetic,AditiSinghSharma Bollywood LoveKaTheEnd EnergeticHindi
Mene Lagan Lagi,JaspinderNirula,BollywoodSad,DilKyaKare,Hindi,sad,JaspinderNirula BollywoodSad DilKyaKare sadHindi
Teri Kasam Main Hoon,VinodRathod,BollywoodDance,PremGranth,Hindi,Energetic,VinodRathod BollywoodDance PremGranth EnergeticHindi
Chahe Zubaan,SonuNigam,BollywoodRomantic,DilHaiTumhaara,Hindi,romantic,SonuNigam BollywoodRomantic DilHaiTumhaara romanticHindi
Mujhe Tu Jo Mila,AamanTrikha,BollywoodRomantic,KhelToAbbShuruHoga,Hindi,romantic,AamanTrikha BollywoodRomantic KhelToAbbShuruHoga romanticHindi
